time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-05-18T14:53:38Z,1453,0,0,0,0,0,3796117,1400,648616,320,0,0,0,0,0,13159,0,0,0,0,0,0,0,59,7,0,-7,1,6,648,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,122,806,122,0,122,0,0,3,122,0,0,0,0,0,0,0,0,0,0,0,0,8357,122,0,0,0,0,54,119,1,45,40153008,-1,0,0,0,0,0,0,1539,0,0,0,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12990,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:54:38Z,573,0,0,0,0,0,3787405,1400,640784,320,0,0,0,0,0,12123,0,0,0,0,0,0,0,58,7,0,-9,1,6,964,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,271,610,271,0,271,0,0,3,271,0,0,0,0,0,0,0,0,0,0,0,0,36349,271,0,0,0,0,53,108,0,0,41373992,-1,0,0,0,0,0,0,2716,0,0,0,1,0,2,0,209,0,6,0,300,0,0,0,0,0,0,0,0,0,0,11798,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:55:38Z,1453,0,0,0,0,0,3782061,1400,634560,320,0,0,0,0,0,11367,0,0,0,0,0,0,0,58,7,0,-9,1,6,672,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,120,400,120,0,120,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,8220,120,0,0,0,0,52,109,1,34,34223680,-1,0,0,0,0,0,0,1611,0,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11205,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:56:38Z,1893,0,0,0,0,0,3776261,1400,628320,320,0,0,0,0,0,11610,0,0,0,0,0,0,0,58,7,0,-9,1,6,775,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,171,665,171,0,171,0,0,3,171,0,0,0,0,0,0,0,0,0,0,0,0,16591,171,0,0,0,0,53,111,0,0,44597888,-1,0,0,0,0,0,0,1960,0,0,0,3,0,0,0,110,0,2,0,100,0,0,0,0,0,0,0,0,0,0,11391,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:57:38Z,2773,0,0,0,0,0,3771661,1400,622840,320,0,0,0,0,0,11652,0,0,0,0,0,0,0,59,7,0,-9,1,7,764,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,169,664,169,0,169,0,0,3,169,0,0,0,0,0,0,0,0,0,0,0,0,18157,169,0,0,0,0,52,112,1,44,33496336,-1,0,0,0,0,0,0,1863,0,0,0,2,0,0,0,109,0,2,0,100,0,0,0,0,0,0,0,0,0,0,11445,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:58:38Z,573,0,0,0,0,0,3762773,1400,616152,320,0,0,0,0,0,11601,0,0,0,0,0,0,0,58,7,0,-10,1,7,779,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,171,604,171,0,171,0,0,3,171,0,0,0,0,0,0,0,0,0,0,0,0,18416,171,0,0,0,0,53,112,0,0,38088000,-1,0,0,0,0,0,0,1897,0,0,0,2,0,1,0,110,0,2,0,100,0,0,0,0,0,0,0,0,0,0,11375,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:59:38Z,573,0,0,0,0,0,3753077,1400,606456,320,0,0,0,0,0,13311,0,0,0,0,0,0,0,57,7,0,-12,1,6,983,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,273,716,273,0,273,0,0,3,273,0,0,0,0,0,0,0,0,0,0,0,0,36094,273,0,0,0,0,54,134,1,34,39250368,-1,0,0,0,0,0,0,2785,0,0,0,1,0,2,0,210,0,6,0,300,0,0,0,0,0,0,0,0,0,0,12976,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T15:00:38Z,1453,0,0,0,0,0,3747781,1400,600280,320,0,0,0,0,0,14174,0,0,0,0,0,0,0,57,7,0,-12,1,7,653,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,120,441,120,0,120,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,8220,120,0,0,0,0,56,136,1,49,24515880,-1,0,0,0,0,0,0,1561,0,0,0,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14011,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T15:01:38Z,573,0,0,0,0,0,3734421,1400,587800,320,0,0,0,0,0,14501,0,0,0,0,0,0,0,55,7,0,-15,1,6,869,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,222,610,222,0,222,0,0,3,222,0,0,0,0,0,0,0,0,0,0,0,0,28325,222,0,0,0,0,55,130,0,0,36867672,-1,0,0,0,0,0,0,2252,0,0,0,1,0,3,0,160,0,4,0,200,0,0,0,0,0,0,0,0,0,0,14227,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T15:02:38Z,1453,0,0,0,0,0,3729869,1400,582368,320,0,0,0,0,0,14017,0,0,0,0,0,0,0,55,7,0,-15,1,6,758,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,169,553,169,0,169,0,0,3,169,0,0,0,0,0,0,0,0,0,0,0,0,16459,169,0,0,0,0,54,124,1,37,35170176,-1,0,0,0,0,0,0,1876,0,0,0,2,0,0,0,109,0,2,0,100,0,0,0,0,0,0,0,0,0,0,13804,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
